times,x_pos,y_pos,z_pos
4.250500202178955,3.055,3.345,99.047
4.399737119674683,2.461,2.92,99.984
4.546573162078857,2.251,2.662,99.548
4.6948699951171875,3.032,1.759,99.071
4.83915114402771,4.711,0.824,98.338
4.985944986343384,7.129,0.594,96.974
5.133555173873901,10.476,0.364,96.031
5.276425123214722,13.781,0.07,95.115
5.4213502407073975,17.226,-0.135,94.212
5.566059112548828,20.78,-0.276,93.57
5.705179214477539,21.442,-0.392,93.067
5.84945821762085,27.671,-0.412,92.384
5.994749307632446,28.243,-0.431,91.836
6.140993118286133,31.782,-0.401,91.617
6.286301136016846,38.454,-0.343,91.633
6.431280136108398,42.093,-0.271,91.402
6.5815441608428955,45.696,-0.203,91.263
6.7281410694122314,49.144,-0.08,90.849
6.875762224197388,49.708,0.02,90.752
7.021500110626221,56.262,0.157,90.595
7.168809175491333,56.862,0.341,90.453
7.313990116119385,63.676,0.388,90.494
7.4619200229644775,67.482,0.461,90.272
7.611818075180054,71.401,0.436,90.053
7.757993936538696,72.026,0.365,89.959
7.901093244552612,75.622,0.333,89.939
8.0451340675354,82.947,0.305,90.07
8.190821170806885,83.608,0.281,90.165
8.336694955825806,90.789,0.165,90.323
8.54070496559143,91.475,-0.017,90.28
8.686903953552246,98.778,-0.209,90.365
8.874731063842773,99.186,-0.25,90.553
9.087748050689697,101.781,0.878,90.285
9.230369091033936,104.09,1.312,90.153
9.377571105957031,104.656,0.804,89.8
9.524745225906372,104.245,-0.143,89.65
9.672381162643433,103.275,-1.046,89.792
9.83149003982544,101.744,-1.309,89.953
9.978600263595581,99.181,-0.49,90.329
10.167023181915283,95.168,0.544,90.869
10.312401056289673,92.627,0.804,91.345
10.462006092071533,90.005,1.643,91.384
10.610551118850708,88.034,2.912,91.258
10.760512113571167,87.275,4.514,91.111
10.906452894210815,86.671,7.685,91.196
11.054083108901978,86.31,11.307,91.375
11.201355934143066,86.139,15.025,91.223
11.34908413887024,86.051,18.475,91.231
11.496658086776733,86.076,22.766,91.048
11.64342713356018,86.197,26.427,91.091
11.791583061218262,86.26,30.918,91.137
11.938019037246704,86.396,34.571,91.27
12.082030057907104,86.572,38.933,91.333
12.229806184768677,86.586,42.898,91.455
12.378750324249268,86.771,43.227,91.809
12.526742935180664,87.436,50.545,91.993
12.675172090530396,87.528,50.844,91.993
12.82542610168457,87.528,57.114,92.308
12.97305703163147,89.076,60.183,92.505
13.120686054229736,89.564,63.112,92.431
13.265300273895264,90.002,66.294,92.464
13.411996126174927,90.094,69.77,92.485
13.55742621421814,90.931,73.117,92.785
13.707172155380249,91.346,76.318,93.121
13.854411125183105,91.744,80.281,93.303
13.998495101928711,91.953,84.021,93.395
14.144247055053711,91.987,84.312,93.395
14.289894104003906,92.3,91.55,93.208
14.430121183395386,92.277,95.371,93.08
14.546691179275513,92.265,98.266,92.945
14.693156003952026,92.26,101.36,92.963
14.839030981063843,92.198,103.595,92.873
14.98446011543274,92.071,105.542,92.886
15.128673076629639,92.054,107.457,92.77
15.273328065872192,91.624,108.466,92.691
15.417952060699463,91.243,108.681,92.788
15.564965009689331,90.69,108.794,92.951
15.709234237670898,90.218,108.901,92.757
15.900686025619507,90.137,108.724,92.408
16.113287210464478,89.48,108.344,92.211
16.258156061172485,88.732,107.881,92.398
16.40649104118347,88.65,107.822,92.659
16.55663824081421,87.613,107.693,92.67
16.703283309936523,86.249,107.628,92.65
16.851023197174072,84.067,107.631,92.603
16.998680114746094,80.969,107.566,92.728
17.145925045013428,80.439,107.556,92.683
17.291664123535156,77.499,107.556,92.683
17.441562175750732,71.263,107.583,92.537
17.59033513069153,68.08,107.534,92.327
17.73892116546631,67.502,107.529,92.467
17.887725114822388,60.96,107.554,92.565
18.033688068389893,60.96,107.554,92.46
18.182778120040894,53.821,107.572,92.699
18.32821822166443,53.213,107.533,92.625
18.478164196014404,46.309,107.541,92.647
18.625789165496826,42.375,107.522,92.919
18.774867296218872,38.271,107.517,93.057
18.921514987945557,34.293,107.493,92.993
19.065176010131836,33.637,107.428,93.106
19.21231198310852,29.726,107.421,93.106
19.362262964248657,22.2,107.43,92.928
19.508021116256714,18.305,107.412,92.907
19.65289330482483,14.441,107.404,92.752
19.79885721206665,10.772,107.455,92.524
19.943254947662354,7.337,107.601,92.576
20.09165906906128,6.716,107.761,92.611
20.24235224723816,1.277,107.736,92.843
20.40708303451538,0.936,107.735,93.023
20.553373098373413,-2.275,107.967,93.05
20.70088219642639,-3.563,108.151,93.217
20.84670901298523,-4.685,109.201,93.135
20.994921922683716,-4.859,110.246,93.037
21.14313316345215,-4.162,110.659,92.85
21.286049127578735,-2.995,110.694,92.583
21.428812980651855,-0.946,110.842,92.39
21.579005241394043,-0.559,110.863,92.424
21.728589057922363,1.843,110.922,92.359
21.875067234039307,4.236,110.977,92.51
22.02698016166687,5.041,110.99,92.638
22.17767596244812,5.664,110.963,92.567
22.32448410987854,5.919,110.92,92.626
22.474034070968628,5.42,110.88,92.427
22.6237690448761,4.718,110.894,92.391
22.770932912826538,3.56,110.949,92.229
22.919095993041992,2.57,110.895,92.36
23.064609050750732,1.312,110.806,92.484
23.212342023849487,0.334,110.692,92.524
23.363351106643677,-0.555,110.586,92.598
23.514873027801514,-1.583,110.577,92.464
23.665955066680908,-2.229,110.404,92.47
23.815316200256348,-2.732,110.255,92.501
23.962355136871338,-3.212,110.115,92.908
24.10736918449402,-3.187,109.75,93.087
24.25754427909851,-2.742,109.535,93.197
24.40413212776184,-2.256,109.434,93.242
24.54837918281555,-1.829,109.225,93.211
24.69573712348938,-1.539,108.882,93.293
24.845803022384644,-1.402,108.423,93.211
24.9949471950531,-1.236,107.914,93.216
25.146396160125732,-1.057,107.182,93.199
25.29250192642212,-1.037,106.587,93.197
25.440473079681396,-0.736,106.234,92.875
25.590198040008545,-0.425,105.848,92.852
25.73896598815918,-0.104,105.665,93.013
25.885603189468384,0.169,105.772,92.844
26.034022092819214,0.229,106.184,92.737
26.183656215667725,0.293,106.518,92.567
26.32894515991211,0.107,106.827,92.282
26.47468113899231,-0.089,107.321,91.983
26.621137142181396,-0.089,108.08,91.712
26.765109062194824,0.071,109.115,91.495
26.91147017478943,0.111,110.031,91.478
27.05424213409424,0.103,110.786,91.447
27.195720195770264,0.171,111.44,91.198
27.34144401550293,0.268,111.941,91.067
27.486645936965942,3.553,112.263,90.989
27.63350224494934,3.921,112.27,90.685
27.778849124908447,2.758,112.453,90.742
27.92466926574707,1.181,112.511,91.146
28.06898021697998,0.353,112.621,91.524
28.215540170669556,-0.173,112.667,91.63
28.36240005493164,-0.173,112.688,91.746
28.50956630706787,-0.779,112.723,92.061
28.654253005981445,-1.83,112.743,92.031
28.801366090774536,-1.899,112.697,91.999
28.94652009010315,-2.618,112.612,92.189
29.093661308288574,-2.802,112.584,92.158
29.23751401901245,-2.601,112.585,92.24
29.384319305419922,-2.161,112.6,92.326
29.529130935668945,-1.71,112.641,92.534
29.677032232284546,-1.377,112.656,92.404
29.826290130615234,-1.21,112.672,92.453
29.97037625312805,-1.418,112.683,92.719
30.11810827255249,-1.836,112.641,92.763
30.266300201416016,-2.253,112.564,92.719
30.415852069854736,-2.587,112.518,92.694
30.564810037612915,-3.093,112.473,92.806
30.712090015411377,-3.705,112.428,92.656
30.860596895217896,-4.139,112.394,92.596
31.04587411880493,-4.215,112.37,92.607
31.215763092041016,-5.076,112.283,92.643
31.362508058547974,-5.173,112.293,92.713
31.505746126174927,-5.212,112.335,92.626
31.6498019695282,-4.868,112.313,92.597
31.796760082244873,-4.162,112.366,92.453
31.942801237106323,-3.425,112.457,92.486
32.08804392814636,-2.65,112.526,92.596
32.23548412322998,-1.68,112.585,92.568
32.384588956832886,-0.546,112.647,92.963
32.53188705444336,0.37,112.692,93.198
32.72322916984558,2.279,112.657,93.223
32.86751413345337,3.835,112.61,93.271
33.016096115112305,3.905,112.637,93.216
33.16256809234619,4.054,112.823,93.149
33.3086462020874,3.668,113.04,93.025
33.454814195632935,2.254,113.128,92.88
33.604692220687866,0.665,113.25,92.704
33.748465061187744,-1.393,113.34,92.654
33.97549891471863,-1.796,113.347,92.713
34.12526321411133,-7.593,113.43,92.799
34.27196216583252,-8.95,113.357,92.803
34.416017055511475,-10.116,113.395,92.646
34.56307411193848,-11.534,113.378,92.404
34.70434927940369,-12.677,113.252,92.101
34.85028028488159,-12.819,112.985,91.989
34.995952129364014,-13.28,112.372,91.9
35.14148187637329,-13.253,111.649,91.776
35.287672996520996,-13.049,110.779,91.936
35.43473815917969,-12.773,110.065,92.039
35.58299016952515,-12.224,109.032,92.023
35.73076415061951,-11.745,108.197,92.129
35.876686096191406,-11.401,107.489,92.402
36.0231511592865,-11.168,106.517,92.469
36.16646718978882,-11.146,105.489,92.279
