times,x_pos,y_pos,z_pos
4.118882179260254,4.521,-0.536,91.464
4.264681100845337,4.519,-1.792,94.336
4.405220031738281,4.596,-3.23,96.309
4.547368049621582,4.74,-4.267,99.7
4.694221258163452,4.885,-4.511,102.85
4.840206861495972,4.929,-4.501,102.85
4.9846391677856445,5.331,-3.185,108.916
5.127503871917725,5.579,-2.682,112.631
5.273169994354248,5.626,-2.307,115.609
5.420868873596191,6.553,-2.008,118.787
5.569672107696533,7.074,-1.848,121.916
5.715420961380005,7.46,-1.617,124.58
5.864120960235596,8.013,-1.206,127.132
6.008333921432495,8.38,-0.629,130.224
6.158105850219727,8.574,-0.064,132.81
6.3091490268707275,8.553,0.414,136.046
6.457068204879761,8.348,1.112,138.736
6.607280015945435,8.326,1.54,141.135
6.754806041717529,7.767,1.67,144.148
6.905200004577637,7.237,1.891,147.418
7.052587032318115,7.154,2.057,150.278
7.242286920547485,6.164,2.695,153.516
7.393181085586548,6.156,3.324,154.315
7.542591094970703,6.314,3.217,154.434
7.6935389041900635,6.409,2.489,153.191
7.842466831207275,6.424,1.548,150.862
7.98865008354187,6.354,1.505,148.394
8.070914268493652,6.328,0.901,147.379
8.220829963684082,5.872,0.688,145.322
8.373291015625,5.809,0.807,143.831
8.520920991897583,5.989,0.264,143.597
8.667810201644897,6.033,-0.45,143.345
8.811568975448608,6.021,-1.295,142.707
8.9566171169281,6.179,-2.198,142.763
9.100080013275146,6.201,-2.294,142.763
9.245754957199097,6.38,-5.621,142.789
9.392719030380249,6.467,-7.158,142.766
9.538562059402466,6.479,-9.27,142.797
9.685602188110352,6.737,-11.425,142.851
9.831225872039795,6.839,-12.99,143.175
9.977683067321777,6.925,-15.558,143.446
10.125356197357178,7.063,-18.005,143.896
10.273762226104736,7.106,-20.973,144.211
10.423074960708618,7.129,-21.144,144.211
10.569382905960083,7.324,-25.138,143.541
10.718333959579468,7.323,-27.477,143.469
10.867106914520264,7.416,-29.673,143.646
11.014748096466064,7.6,-31.673,143.916
11.16056203842163,7.612,-31.673,143.632
11.309478044509888,7.615,-35.893,143.893
11.459529161453247,7.603,-37.596,144.224
11.609966039657593,7.347,-39.808,144.443
11.760283946990967,7.335,-42.482,144.375
11.91008710861206,7.161,-44.749,144.275
12.0590980052948,6.955,-46.69,144.098
12.209042072296143,6.74,-48.942,144.144
12.359454154968262,6.553,-51.663,143.901
12.510174989700317,6.482,-53.274,144.045
12.659009218215942,6.301,-55.16,143.894
12.807223081588745,6.095,-57.532,144.031
12.95100712776184,6.092,-59.151,144.345
13.101305961608887,5.627,-61.005,144.61
13.251271963119507,5.137,-63.624,144.862
13.397293090820312,5.091,-65.438,145.025
13.540266036987305,4.612,-67.373,145.17
13.686914920806885,4.014,-69.992,145.289
13.834735870361328,3.679,-71.516,145.605
13.979718923568726,3.246,-73.223,145.823
14.124680995941162,2.764,-75.587,146.012
