times,x_pos,y_pos,z_pos
4.116469144821167,7.143,-1.353,96.074
4.2657999992370605,6.824,-2.034,98.02
4.411787986755371,6.455,-2.73,100.755
4.557044982910156,6.263,-3.323,105.079
4.700039863586426,5.983,-3.748,108.535
4.845736026763916,5.418,-4.522,113.715
4.99303412437439,4.898,-4.911,118.59
5.1408851146698,4.564,-5.174,125.102
5.2847020626068115,4.102,-5.701,129.499
5.432396173477173,3.901,-6.186,133.921
5.579828977584839,3.841,-6.385,137.922
5.730180025100708,4.021,-5.954,143.049
5.877762079238892,4.314,-5.281,147.073
6.024132966995239,4.446,-4.792,151.195
6.2110350131988525,4.694,-4.231,155.412
6.359565019607544,5.023,-3.84,157.783
6.506879091262817,5.443,-3.324,158.874
6.656378984451294,5.88,-2.987,158.369
6.79886794090271,6.218,-3.012,157.14
6.944318056106567,6.115,-3.85,155.763
7.090063095092773,6.024,-4.483,155.263
7.240256071090698,5.823,-5.234,153.777
7.386297225952148,5.454,-5.639,152.494
7.5334861278533936,5.093,-5.878,151.389
7.680589199066162,4.906,-5.947,149.966
7.759231090545654,4.901,-5.932,149.086
7.907150030136108,5.154,-5.941,148.073
8.053766965866089,6.088,-5.784,148.037
8.199958086013794,6.319,-7.561,148.332
8.350586891174316,8.755,-10.272,149.208
8.499055862426758,10.148,-14.838,149.829
8.649279117584229,12.795,-20.544,150.678
8.799880981445312,13.454,-26.458,151.209
8.947029113769531,22.789,-32.831,151.527
9.097049951553345,27.879,-39.621,152.368
9.246676921844482,32.561,-46.464,153.061
9.394484043121338,35.985,-53.215,153.336
9.541765928268433,38.651,-60.347,153.511
9.690660953521729,42.344,-67.205,152.715
9.836367130279541,47.837,-74.142,152.664
9.985253810882568,53.216,-81.049,152.603
10.133130073547363,58.093,-87.934,152.683
10.280356168746948,61.311,-93.55,152.751
10.427762985229492,62.54,-97.084,152.572
10.578289985656738,64.218,-101.012,81.407
10.726756811141968,68.255,-107.266,81.755
10.875612020492554,71.254,-110.503,81.782
11.025189876556396,73.591,-113.425,81.774
11.172483205795288,78.202,-117.379,81.824
11.32270097732544,80.96,-121.666,81.947
11.47283411026001,84.495,-126.587,82.029
11.62309193611145,89.977,-133.069,82.086
11.773906946182251,92.44,-134.462,82.887
11.92106294631958,93.495,-137.278,83.367
12.065743207931519,103.392,-144.999,85.747
12.214869976043701,106.742,-155.418,88.987
12.365331888198853,109.617,-162.653,90.957
12.516177892684937,112.837,-169.575,148.534
12.665726900100708,117.339,-176.602,146.522
12.815696001052856,122.676,-183.798,145.022
12.965756893157959,127.267,-190.383,143.358
13.1144700050354,129.824,-196.481,142.208
13.261731147766113,131.838,-202.771,141.103
13.410943984985352,132.182,-208.77,140.132
13.561074018478394,139.264,-215.027,139.721
13.710412979125977,144.382,-221.198,139.562
13.856857061386108,148.667,-227.15,139.069
14.004234075546265,151.869,-232.706,138.253
14.152629137039185,154.249,-238.15,137.526
14.298672914505005,154.661,-243.562,137.362
14.444334030151367,161.754,-249.587,137.2
14.593176126480103,166.65,-255.541,137.692
14.740332126617432,170.988,-261.547,138.048
14.889724969863892,174.432,-267.527,138.288
15.034613132476807,176.582,-273.117,137.729
15.180565118789673,178.904,-278.642,137.347
15.330860137939453,182.969,-284.309,136.86
15.481476783752441,188.066,-290.461,136.878
15.631516933441162,192.835,-296.567,136.773
15.781471014022827,196.703,-302.537,137.247
15.931395053863525,199.021,-308.224,136.959
16.077887058258057,201.196,-314.0,137.168
16.22776699066162,204.896,-319.97,137.321
16.377750158309937,209.487,-324.958,136.268
16.528531074523926,211.996,-328.541,135.586
16.678292989730835,212.26,-331.967,135.581
16.82773518562317,217.164,-336.928,64.202
16.976847887039185,219.362,-339.69,65.011
17.12063503265381,222.893,-344.856,65.534
17.265786170959473,227.359,-350.512,65.966
17.41481900215149,228.114,-351.901,66.235
17.56107807159424,228.809,-354.314,66.413
17.71181893348694,233.401,-359.374,66.641
17.859706163406372,236.069,-363.031,66.831
18.003151178359985,240.731,-369.202,67.207
18.153040885925293,245.474,-376.693,68.887
18.30060911178589,246.239,-383.938,70.294
18.451311111450195,255.695,-390.869,70.371
18.59910297393799,260.792,-397.747,139.469
18.746116876602173,264.758,-404.313,139.133
18.891968965530396,267.107,-410.061,139.29
19.041985988616943,269.313,-416.812,139.39
19.19015908241272,273.083,-422.609,138.897
19.3407199382782,278.235,-428.592,138.327
19.486359119415283,279.089,-429.121,138.327
19.63604998588562,287.168,-440.213,136.851
19.786366939544678,290.002,-444.915,136.187
19.934650182724,291.885,-448.212,135.785
20.081748008728027,293.978,-451.691,135.382
20.227120876312256,298.368,-457.879,135.665
20.377665996551514,303.334,-463.864,135.328
20.52755308151245,307.852,-469.659,135.439
20.67266011238098,312.224,-475.907,135.89
20.861098051071167,316.729,-483.523,137.37
21.009182929992676,320.441,-488.504,138.271
21.156932830810547,323.021,-491.47,138.999
21.302258014678955,326.659,-493.44,138.966
21.448963165283203,331.063,-494.899,139.264
21.596940994262695,335.044,-494.701,139.146
21.742300033569336,338.986,-494.301,138.85
21.89250683784485,342.824,-493.627,138.591
22.03872799873352,345.677,-491.732,138.656
22.186329126358032,347.153,-487.766,138.659
22.33635902404785,348.166,-483.005,138.017
22.48238706588745,349.116,-478.909,137.47
22.63287615776062,349.878,-474.493,137.448
22.78028106689453,349.985,-470.023,137.311
22.861122131347656,350.535,-467.554,137.517
22.90166187286377,350.812,-466.89,137.516
23.04863214492798,351.069,-463.545,137.475
23.197923183441162,351.168,-462.323,136.599
23.347230911254883,351.292,-460.927,135.322
23.49579691886902,351.288,-459.715,133.995
23.6411030292511,351.307,-458.908,132.308
23.78743290901184,351.119,-458.721,130.59
23.933696031570435,350.633,-458.738,128.791
24.08075714111328,350.4,-459.279,127.032
24.229245901107788,350.38,-459.999,125.287
24.377362966537476,350.392,-460.644,123.299
24.52381706237793,350.443,-461.371,121.25
24.67327308654785,350.5,-462.893,119.062
24.820203065872192,350.587,-463.851,116.907
24.968379974365234,350.705,-464.347,114.633
25.116567134857178,350.763,-465.106,112.656
25.264265060424805,350.893,-465.794,110.56
25.41229009628296,351.097,-466.19,108.631
25.561147928237915,351.523,-466.516,106.971
25.71116280555725,351.937,-466.774,105.103
25.86117196083069,352.439,-466.937,103.215
26.009182929992676,352.782,-466.965,101.287
26.157196044921875,353.104,-466.884,99.413
26.304352045059204,353.602,-466.534,96.98
26.45010209083557,353.913,-466.397,94.856
26.597079038619995,354.204,-466.291,92.744
26.744484186172485,354.649,-466.157,90.757
26.89222812652588,354.904,-466.096,88.758
27.04042100906372,355.07,-466.004,86.783
27.187896013259888,355.066,-465.942,84.768
27.336584091186523,354.579,-465.923,82.766
27.48248291015625,354.352,-465.845,80.688
27.632576942443848,354.138,-465.792,78.525
27.782365083694458,354.104,-465.534,76.404
27.932569980621338,354.201,-465.262,74.196
28.081677198410034,354.358,-465.165,71.907
28.227487087249756,354.63,-465.413,69.701
28.373751163482666,354.783,-465.677,67.63
28.52380108833313,354.796,-465.982,65.571
28.669703006744385,354.856,-466.233,63.589
28.815812826156616,354.909,-466.25,63.589
28.96381688117981,355.209,-466.649,59.36
29.112418174743652,355.405,-466.817,57.199
29.259228944778442,355.625,-466.946,55.097
29.406909942626953,355.805,-466.973,53.19
29.551032066345215,355.979,-466.989,50.93
29.701977968215942,356.137,-466.819,48.818
29.851311206817627,355.937,-466.615,46.782
29.998769998550415,355.587,-466.543,44.705
30.14789891242981,355.538,-466.482,42.805
30.294456005096436,354.865,-466.35,40.737
30.44424819946289,354.411,-466.127,38.478
30.590425968170166,354.09,-465.881,36.281
30.74126386642456,353.906,-465.634,34.033
30.89016103744507,353.813,-465.396,31.818
31.039333820343018,353.772,-465.16,29.566
31.186361074447632,353.78,-464.975,27.361
31.332943201065063,353.786,-464.858,25.047
31.481066942214966,353.967,-464.846,22.712
31.631776094436646,354.022,-464.98,20.26
31.782498121261597,354.055,-465.122,17.936
31.929508924484253,354.142,-465.207,15.61
32.07771182060242,354.313,-465.222,13.247
32.31066703796387,354.349,-465.248,9.944
37.16975688934326,354.824,-467.746,4.547
