times,x_pos,y_pos,z_pos
4.117033958435059,-0.647,4.386,97.77
4.260200023651123,-1.111,3.97,99.343
4.409190893173218,-1.464,3.498,101.426
4.55516791343689,-1.878,2.756,105.646
4.704975843429565,-2.128,2.308,110.556
4.854385852813721,-2.462,1.863,115.459
5.002933025360107,-2.744,1.664,120.455
5.1527259349823,-3.005,1.639,125.812
5.301182985305786,-2.689,1.855,130.267
5.4463629722595215,-2.602,1.912,134.664
5.594172954559326,-1.723,2.0,138.776
5.7382800579071045,-1.157,2.158,144.039
5.882505893707275,-0.769,2.631,148.595
6.025921106338501,-0.667,3.177,152.792
6.209619045257568,-1.133,3.56,157.99
6.357155084609985,-1.511,3.732,160.134
6.505046129226685,-2.038,3.839,161.184
6.6458680629730225,-2.553,3.828,161.089
6.7938079833984375,-3.004,3.695,160.495
6.939864873886108,-3.482,3.487,158.718
7.088639974594116,-3.882,3.405,157.938
7.23387598991394,-4.273,3.437,157.706
7.381008863449097,-4.519,3.524,156.563
7.526987075805664,-4.594,3.742,155.85
7.676257133483887,-4.192,3.757,154.734
7.825875997543335,-3.418,3.715,153.694
7.977648973464966,-2.943,3.773,152.378
8.127957105636597,-2.345,3.699,151.317
8.273855924606323,-1.619,3.537,150.075
8.421780109405518,-1.556,3.093,148.937
8.631513833999634,-0.391,2.364,147.896
8.777103900909424,-0.604,2.357,148.31
8.919941902160645,-0.158,2.573,149.186
9.066107988357544,0.753,2.912,150.274
9.209140062332153,2.321,2.872,151.432
9.350995063781738,4.456,2.793,151.981
9.496999979019165,6.118,2.661,151.98
9.638392925262451,8.151,2.612,151.847
9.784188985824585,10.475,2.537,151.916
9.934502840042114,13.032,2.386,152.406
10.081145763397217,15.971,2.239,153.135
10.22869086265564,19.049,2.077,153.663
10.37644910812378,22.323,1.905,153.812
10.525636911392212,25.021,1.746,153.385
10.676599025726318,25.405,1.453,152.867
10.823689937591553,30.586,1.303,152.37
10.971758842468262,33.354,1.181,153.037
11.121793031692505,36.16,1.071,153.536
11.271687030792236,38.88,1.044,153.803
11.421803951263428,41.681,0.897,153.808
11.5712149143219,44.799,0.68,153.967
11.721750974655151,48.415,0.616,154.309
11.870403051376343,52.658,0.38,154.479
12.020995855331421,56.498,0.18,154.64
12.17160701751709,58.867,0.184,154.554
12.317492961883545,62.074,0.105,154.601
12.462898969650269,62.58,0.082,154.579
12.609534978866577,68.177,0.004,155.234
12.759886980056763,71.149,0.012,155.19
12.90165400505066,73.388,0.054,155.448
13.050765752792358,76.313,0.146,155.395
13.196295976638794,79.887,0.177,155.393
13.342081069946289,83.527,0.416,155.017
13.49161696434021,86.29,0.533,154.532
13.640685081481934,89.226,0.864,154.633
13.788435935974121,92.388,1.144,154.216
13.937527179718018,95.142,1.309,154.14
14.088426113128662,97.902,1.524,154.105
14.234380960464478,100.674,1.732,154.083
14.381112098693848,103.75,1.885,154.129
14.528783798217773,107.777,2.14,153.781
14.676469087600708,112.433,2.282,154.302
14.826022863388062,116.293,2.456,155.337
14.977084875106812,118.904,2.622,155.968
15.126655101776123,121.625,2.732,155.959
15.27660083770752,124.082,2.838,156.114
15.42733120918274,127.457,2.875,156.368
15.577463150024414,128.066,2.895,155.887
15.724630117416382,132.883,2.872,155.083
15.874518156051636,135.643,2.785,154.69
16.02310085296631,138.112,2.656,154.433
16.171854972839355,140.594,2.437,153.466
16.31668210029602,142.536,2.299,152.605
16.46337890625,142.852,2.039,152.361
16.61175298690796,146.873,1.758,153.039
16.75902485847473,150.871,1.531,153.713
16.90862798690796,155.704,1.28,154.407
17.05900812149048,158.912,0.889,155.102
17.208974838256836,160.891,0.381,155.832
17.355762004852295,163.344,-0.667,156.464
17.499801874160767,165.699,-1.195,156.487
17.64784002304077,168.37,-1.648,156.553
17.797307014465332,171.077,-2.04,156.85
17.943839073181152,174.046,-2.468,156.838
18.092961072921753,176.557,-2.837,156.963
18.241127014160156,179.335,-3.162,156.62
18.3855140209198,181.777,-3.302,155.898
18.532822132110596,183.972,-3.463,155.28
18.67927598953247,187.141,-3.637,154.774
18.825772047042847,190.553,-3.619,154.212
18.974945068359375,193.88,-3.763,153.83
19.125919103622437,196.446,-3.894,153.685
19.27194595336914,199.778,-3.917,153.654
19.421494960784912,203.703,-3.788,154.619
19.567909955978394,204.383,-3.676,154.35
19.715267181396484,210.808,-3.634,154.021
19.864003896713257,213.148,-3.578,153.768
20.008995056152344,216.48,-3.384,153.105
20.15900707244873,220.139,-3.344,153.084
20.30839705467224,223.27,-3.331,152.62
20.455212116241455,225.386,-3.302,152.286
20.605257987976074,228.749,-3.163,151.951
20.753944158554077,233.125,-2.973,151.851
20.899307012557983,237.776,-2.849,151.939
21.046077966690063,242.022,-2.812,152.691
21.19346308708191,244.969,-2.72,153.385
21.341500997543335,248.289,-2.599,154.095
21.49047303199768,250.789,-2.537,154.023
21.63793683052063,253.698,-2.452,153.792
21.7847580909729,256.228,-2.525,154.14
21.933686017990112,258.386,-2.452,155.045
22.083297967910767,261.655,-2.362,155.928
22.230716943740845,262.284,-2.357,156.106
22.377601146697998,267.583,-2.319,156.751
22.525727033615112,270.703,-2.271,157.787
22.670527935028076,271.247,-2.365,158.0
22.818010807037354,275.815,-2.414,156.691
22.966634035110474,276.213,-2.499,155.43
23.113944053649902,282.555,-2.605,155.099
23.259471893310547,285.406,-2.622,154.542
23.410382986068726,287.769,-2.722,153.874
23.559103965759277,291.265,-2.818,153.2
23.711602926254272,293.994,-2.952,152.65
23.856855154037476,296.67,-3.078,152.769
24.00787591934204,297.169,-3.209,152.871
24.153841018676758,301.845,-3.329,153.222
24.30138897895813,304.782,-3.389,153.661
24.44804096221924,307.941,-3.457,153.917
24.59334707260132,310.747,-3.488,154.432
24.741085052490234,313.04,-3.581,154.297
24.88833212852478,313.303,-3.625,153.966
25.03602886199951,319.91,-3.662,154.115
25.18447494506836,322.42,-3.757,153.956
25.33470892906189,325.926,-3.766,153.461
25.48360800743103,326.553,-3.749,153.56
25.634307146072388,331.562,-3.876,153.653
25.781294107437134,334.557,-3.977,153.791
25.930707931518555,335.156,-3.895,153.913
26.07445192337036,339.684,-3.878,153.994
26.22518301010132,339.684,-3.805,153.859
26.37516188621521,345.334,-3.784,153.943
26.575312852859497,345.731,-3.708,154.09
26.72578477859497,350.212,-3.59,154.526
26.918188095092773,350.381,-3.368,154.354
27.121821880340576,351.876,-2.764,154.65
