times,x_pos,y_pos,z_pos
4.130957126617432,-15.252,-4.962,92.774
4.279820203781128,-17.958,-5.812,94.537
4.426907300949097,-20.05,-6.425,96.936
4.573976039886475,-21.537,-6.604,100.34
4.719813108444214,-21.782,-6.61,104.428
4.861902236938477,-25.465,-6.282,108.312
5.003656387329102,-26.782,-5.899,112.343
5.150386333465576,-27.617,-4.931,116.713
5.296999216079712,-27.792,-4.142,119.923
5.4404542446136475,-27.76,-2.14,123.395
5.586390018463135,-27.613,-0.488,127.055
5.733943223953247,-27.576,1.191,131.964
5.881834030151367,-24.459,2.523,136.398
6.030878305435181,-23.294,4.378,140.395
6.18075704574585,-23.152,6.253,143.962
6.331647157669067,-21.949,7.527,147.769
6.478008270263672,-20.913,7.965,151.366
6.663002252578735,-19.825,7.882,155.785
6.810826063156128,-17.88,7.852,157.521
6.958454132080078,-15.575,7.086,161.432
7.1053502559661865,-14.276,6.064,160.976
7.25210428237915,-13.544,2.992,160.926
7.397521257400513,-12.487,-0.463,161.423
7.538086175918579,-11.314,-1.911,161.696
7.684040307998657,-9.272,-2.296,161.607
7.827620267868042,-8.106,-3.147,161.049
7.9708411693573,-7.499,-3.768,160.288
8.113786220550537,-6.708,-4.71,159.112
8.259113311767578,-5.838,-4.718,158.125
8.40396523475647,-5.802,-4.01,157.168
8.553086996078491,-5.909,-3.289,156.473
8.70314335823059,-6.056,-2.822,154.71
8.849989175796509,-6.575,-2.404,152.24
8.996662139892578,-7.031,-1.767,149.911
9.078518152236938,-7.071,-1.531,148.593
9.231659173965454,-7.145,-1.424,147.245
9.382629156112671,-7.261,-1.227,146.882
9.528791189193726,-7.115,-2.947,146.933
9.679592370986938,-6.971,-6.373,147.858
9.833701133728027,-6.723,-11.24,148.972
9.978661298751831,-6.585,-16.621,150.306
10.124514102935791,-6.573,-17.028,151.356
10.272629022598267,-6.089,-28.276,151.674
10.419592380523682,-5.721,-34.458,151.716
10.568181991577148,-5.577,-41.008,151.943
10.71303915977478,-5.497,-46.866,152.45
10.856658220291138,-5.192,-53.816,153.09
11.001474142074585,-5.021,-60.119,153.101
11.145034074783325,-4.945,-65.815,152.608
11.289695024490356,-4.744,-71.131,152.306
11.434982299804688,-4.588,-76.929,151.97
11.577245235443115,-4.563,-77.418,152.038
11.723599195480347,-4.317,-89.273,152.173
11.869042158126831,-3.935,-95.293,152.924
12.013147115707397,-3.698,-101.161,153.311
12.160515069961548,-3.17,-107.149,153.558
12.30682110786438,-2.708,-113.113,154.483
12.44881820678711,-1.817,-118.695,154.981
12.59709906578064,-0.414,-124.303,155.449
12.745293140411377,1.033,-129.472,155.656
12.890287160873413,2.952,-134.035,157.47
13.034668207168579,5.294,-137.915,158.03
13.182279348373413,7.511,-141.495,157.92
13.330439329147339,9.116,-146.233,157.391
13.478862285614014,10.512,-152.337,157.116
13.625969171524048,12.052,-157.999,157.041
13.77609133720398,14.406,-162.881,156.441
13.922497034072876,17.217,-168.842,155.695
14.074408292770386,18.952,-174.382,156.065
14.22186803817749,20.101,-180.505,156.908
14.368035078048706,21.511,-186.682,157.678
14.514326095581055,22.8,-191.979,158.012
14.661903142929077,23.877,-196.485,157.533
14.811704158782959,24.899,-200.462,157.207
14.960024118423462,25.894,-205.662,156.365
15.110692262649536,26.774,-211.797,155.434
15.2623291015625,27.784,-217.806,155.209
15.4067862033844,29.025,-222.823,155.637
15.555232048034668,30.202,-227.773,155.746
15.705756187438965,31.137,-232.874,156.093
15.853088140487671,32.088,-238.713,155.962
15.996915340423584,33.17,-244.081,155.792
16.139458179473877,34.144,-249.166,155.759
16.28558325767517,35.037,-254.132,156.201
16.431323289871216,35.813,-258.485,156.759
16.57303500175476,36.777,-263.011,156.684
16.717350244522095,37.792,-269.198,157.585
16.86168599128723,38.803,-275.71,158.978
17.00538921356201,39.921,-281.624,159.241
17.146775245666504,41.203,-286.375,158.188
17.296050310134888,42.408,-290.102,156.989
17.504927158355713,43.533,-293.532,156.117
17.65988826751709,46.405,-301.466,155.999
17.80445432662964,48.827,-307.767,155.897
17.949464082717896,51.392,-313.179,155.706
18.096906185150146,53.302,-318.765,154.582
18.241526126861572,54.71,-324.812,154.258
18.38533926010132,56.185,-330.896,154.677
18.534289360046387,56.439,-336.719,154.984
18.680166244506836,60.429,-343.252,155.174
18.825844049453735,62.414,-347.996,154.867
18.970105171203613,63.922,-351.671,82.232
19.119364261627197,66.52,-356.637,81.881
19.265627145767212,69.321,-361.976,81.392
19.415337324142456,71.875,-368.018,80.261
19.55793833732605,74.186,-372.85,81.182
19.70602536201477,75.386,-377.431,81.539
19.8503201007843,76.113,-381.947,80.633
19.996913194656372,77.4,-389.183,79.141
