times,x_pos,y_pos,z_pos
4.116184949874878,7.644,-4.019,97.174
4.2620320320129395,7.086,-4.385,98.707
4.411535978317261,5.847,-4.448,101.482
4.553646087646484,4.917,-4.488,105.883
4.702444076538086,4.562,-4.274,110.864
4.849606037139893,4.248,-3.8,115.914
4.995645046234131,4.051,-3.225,120.581
5.140017032623291,4.135,-2.631,125.823
5.287569999694824,4.173,-2.03,130.404
5.435336112976074,5.122,-1.495,134.874
5.581459045410156,5.623,-1.109,139.419
5.73242712020874,6.196,-0.736,144.157
5.8829450607299805,6.843,-0.311,148.969
6.032065153121948,7.202,0.171,153.911
6.220376968383789,7.301,0.948,159.368
6.3662989139556885,7.309,1.433,161.951
6.514622926712036,7.241,1.71,162.723
6.6614861488342285,7.036,1.921,162.048
6.8087239265441895,6.806,1.869,161.803
6.956070899963379,6.786,1.373,160.727
7.101743936538696,6.681,1.075,159.13
7.249891042709351,6.644,0.63,157.732
7.399632930755615,6.642,0.255,157.148
7.544373989105225,6.286,0.224,156.74
7.691394090652466,5.84,0.616,155.812
7.842158079147339,5.752,1.082,155.119
7.992750883102417,5.626,1.542,153.492
8.139438152313232,5.371,1.873,152.021
8.288282871246338,5.072,1.944,150.289
8.432059049606323,4.754,1.607,149.53
8.513454914093018,4.683,1.296,148.874
8.660552978515625,4.46,0.334,149.005
8.808631181716919,4.856,-0.443,149.564
8.957051038742065,5.984,-2.207,150.947
9.104659080505371,7.215,-5.88,151.58
9.253683090209961,7.891,-11.205,152.208
9.403527975082397,8.67,-16.717,152.149
9.550538063049316,10.003,-22.736,151.94
9.69961404800415,11.583,-29.238,151.686
9.847381114959717,13.34,-35.618,151.307
9.993259191513062,15.724,-42.254,151.132
10.141659021377563,19.506,-49.182,151.531
10.292587041854858,24.081,-56.281,151.965
10.440340042114258,27.73,-63.163,152.13
10.586647033691406,29.54,-69.915,151.989
10.732984066009521,31.488,-76.879,152.075
10.88297986984253,33.922,-83.739,152.204
11.033721923828125,37.746,-90.704,152.75
11.18167519569397,42.77,-97.735,152.913
11.329385042190552,46.949,-103.456,152.157
11.478978157043457,48.554,-107.804,151.663
11.627790927886963,49.577,-111.862,151.226
11.777485132217407,51.411,-116.194,81.42
11.925009965896606,54.4,-121.244,81.898
12.075003862380981,57.075,-126.581,82.391
12.225651979446411,61.486,-131.894,82.846
12.374488115310669,66.387,-137.538,83.22
12.525039911270142,64.04,-140.472,83.498
12.675020217895508,52.668,-143.254,83.808
12.825399160385132,55.02,-151.332,84.566
12.974637031555176,63.412,-160.284,86.221
13.125089168548584,70.587,-168.113,87.96
13.27525520324707,73.853,-172.644,88.633
13.425832033157349,76.238,-177.309,153.274
13.574485063552856,80.699,-185.042,153.035
13.723277807235718,86.147,-191.854,153.584
13.871270895004272,91.296,-198.612,153.14
14.021837949752808,94.843,-205.739,152.924
14.166968822479248,96.967,-212.027,152.602
14.318272113800049,99.474,-219.406,151.775
14.46627688407898,102.861,-225.927,150.65
14.614702224731445,107.873,-232.94,150.496
14.765602111816406,112.851,-239.664,149.875
14.916609048843384,113.57,-240.242,149.447
15.06640911102295,118.514,-252.579,149.147
15.212486028671265,120.903,-258.715,149.11
15.363608121871948,121.338,-264.803,148.389
15.510000944137573,128.502,-271.072,147.641
15.657087087631226,133.508,-277.634,147.408
15.803275108337402,134.299,-283.768,147.527
15.953699111938477,139.303,-289.968,147.085
16.104444980621338,141.46,-295.761,147.331
16.253226041793823,144.691,-302.377,147.227
16.401251792907715,149.439,-308.619,147.823
16.549028873443604,154.318,-315.036,148.388
16.69965386390686,157.89,-321.398,149.468
16.846537113189697,159.676,-327.501,149.99
16.997395038604736,159.779,-334.061,149.9
17.148333072662354,164.585,-340.596,149.052
17.295655965805054,168.891,-346.584,148.32
17.44194197654724,171.803,-350.094,147.414
17.592078924179077,174.063,-354.102,147.243
17.739644050598145,176.158,-358.254,75.801
17.889244079589844,181.489,-363.545,76.112
18.039803981781006,185.468,-369.31,76.294
18.189962148666382,188.967,-375.767,76.394
18.334168195724487,192.654,-380.235,76.503
18.484971046447754,195.332,-384.403,76.564
18.632941007614136,195.776,-389.201,76.646
18.782994031906128,199.556,-394.236,76.847
18.927574157714844,205.207,-401.116,77.695
19.076966047286987,209.06,-407.653,79.241
19.224745988845825,212.681,-413.997,80.008
19.37355899810791,213.289,-421.35,80.751
19.520323038101196,217.963,-424.999,141.001
19.669360876083374,218.304,-430.52,140.691
19.81636619567871,225.014,-437.38,140.095
19.962321043014526,229.709,-443.277,139.787
20.1096031665802,234.117,-449.555,139.505
20.257050037384033,237.7,-455.36,139.098
20.40801692008972,240.666,-461.247,138.46
20.557241916656494,241.087,-465.271,137.671
20.70365023612976,246.149,-471.317,137.274
20.853668928146362,250.956,-479.346,137.978
21.00368905067444,255.537,-486.085,139.653
21.15104603767395,258.958,-492.214,139.804
21.297464847564697,260.959,-499.009,139.54
21.4477698802948,263.119,-505.664,138.562
21.593050003051758,266.648,-511.349,137.556
21.741682052612305,271.62,-518.289,137.247
21.89039897918701,276.161,-524.658,136.655
22.079087018966675,280.778,-532.348,135.875
22.224506855010986,283.805,-537.347,135.914
22.370414972305298,285.909,-540.197,135.59
22.520373106002808,288.656,-541.732,135.107
22.669442176818848,289.22,-542.999,135.088
22.82009506225586,295.058,-543.567,135.202
22.96642303466797,298.773,-543.888,135.376
23.115830183029175,303.012,-543.573,135.639
23.266511917114258,306.68,-543.11,135.802
23.41640305519104,308.802,-542.747,135.696
23.565754890441895,311.396,-541.58,135.756
23.714689016342163,314.567,-540.192,135.718
23.864898204803467,317.592,-538.791,135.795
24.012364149093628,319.361,-537.037,136.06
24.157411813735962,320.922,-534.805,135.827
24.30682921409607,321.192,-534.616,135.86
24.45368981361389,324.463,-530.038,135.716
24.59928822517395,325.986,-529.107,135.677
24.748834133148193,327.847,-527.822,135.616
24.89698600769043,329.687,-525.525,135.695
25.048671007156372,331.348,-524.806,136.022
25.19837188720703,333.484,-524.55,136.344
25.346065998077393,333.855,-524.259,136.425
25.49386191368103,336.349,-524.263,136.425
25.641937971115112,338.934,-524.198,136.597
25.792405128479004,339.077,-524.42,136.745
25.94162106513977,340.154,-524.796,136.725
26.087013959884644,340.682,-524.915,136.371
26.233548164367676,341.392,-524.424,136.506
26.38077402114868,341.878,-523.739,136.789
26.528563976287842,341.959,-522.756,136.21
26.675069093704224,342.137,-521.009,136.034
26.825016975402832,342.275,-519.35,136.115
26.975077867507935,342.291,-518.203,136.3
27.1253399848938,342.188,-517.292,136.761
27.275373220443726,342.093,-515.806,137.405
27.424699068069458,342.1,-514.212,137.728
27.575284004211426,342.115,-513.645,137.722
27.723484992980957,341.823,-513.594,137.503
27.870553016662598,341.647,-513.945,137.336
28.017101049423218,341.673,-514.604,137.261
28.16566801071167,341.61,-515.263,137.208
28.314841985702515,341.621,-516.236,137.021
28.462192058563232,341.707,-517.279,137.31
28.60645318031311,341.752,-518.376,137.303
28.75435709953308,341.703,-519.334,137.261
28.90369701385498,341.738,-519.867,137.255
29.05368208885193,341.807,-520.002,137.268
29.204304933547974,341.82,-520.429,136.766
29.35393214225769,341.84,-520.985,136.433
29.499706983566284,341.93,-521.162,136.923
29.647891998291016,342.264,-520.833,136.914
29.79859685897827,342.301,-520.765,137.167
29.9491069316864,342.512,-518.218,137.276
30.100069046020508,342.626,-516.496,137.492
30.249043941497803,342.628,-515.114,137.609
30.395928144454956,342.695,-514.022,137.456
30.541752815246582,342.749,-512.781,137.271
30.692649126052856,342.886,-512.16,136.832
30.841810941696167,343.195,-511.524,136.816
30.99266791343689,343.342,-511.345,136.966
31.142812967300415,343.51,-511.636,137.159
31.290879011154175,343.401,-512.528,137.011
31.440871953964233,343.485,-513.744,136.861
31.591403007507324,343.574,-515.052,137.057
31.74134111404419,343.58,-515.138,137.057
31.891736030578613,343.58,-516.532,137.045
32.042389154434204,343.73,-517.177,136.805
32.187626123428345,343.475,-517.644,137.494
32.3330020904541,343.157,-518.036,137.252
32.47730898857117,343.037,-518.142,137.027
32.62783122062683,342.74,-517.926,137.036
32.774402141571045,342.764,-516.981,136.631
32.92542386054993,342.903,-515.543,136.682
33.07159209251404,342.951,-514.755,136.405
33.220531940460205,343.011,-514.377,136.406
33.369009017944336,343.102,-514.057,136.34
33.5184760093689,343.29,-513.725,135.675
33.66637301445007,343.344,-513.665,135.656
33.81233096122742,344.304,-514.033,135.701
33.95842218399048,344.543,-514.745,135.77
34.108397006988525,344.64,-515.433,135.839
34.25786805152893,344.737,-516.311,136.119
34.40356111526489,344.877,-517.107,136.405
34.551499128341675,345.032,-517.866,136.646
34.69993495941162,345.202,-519.115,136.3
