x_pos,y_pos,z_pos
0.0,0.0,0.0
3.909,-2.344,93.446
3.833,-3.061,95.927
5.543,-3.342,95.456
10.475,-3.495,94.588
17.175,-3.561,93.469
24.48,-3.66,91.96
31.514,-3.734,90.789
39.419,-3.865,90.161
46.996,-4.012,89.891
54.609,-4.133,89.779
62.04,-4.251,89.405
69.382,-4.379,89.222
76.656,-4.456,89.003
83.673,-4.517,89.086
85.844,-4.561,89.145
91.422,-4.132,89.65
95.39,-2.762,89.683
97.125,1.012,89.443
97.749,6.813,89.297
98.157,12.257,89.35
98.341,17.854,89.303
98.511,23.95,89.464
98.48,29.798,89.768
98.49,35.746,89.688
98.455,41.738,89.609
98.286,47.602,89.692
98.118,53.468,89.981
97.84,58.747,90.001
97.692,64.805,89.941
97.479,70.012,89.499
97.319,75.473,89.631
97.354,80.775,90.046
97.307,86.107,90.521
97.378,90.29,90.642
97.464,94.68,90.69
97.662,100.529,90.586
97.972,105.284,90.1
96.2,106.825,89.97
89.943,107.3,89.772
89.341,97.789,89.911
90.347,103.7,90.707
92.936,108.505,92.054
96.631,109.991,92.753
122.65,112.377,92.469
127.942,114.055,89.769
125.958,114.959,90.109
124.619,114.742,90.422
