x_pos,y_pos,z_pos
0.0,-6.51,7.899
0.226,5.818,96.728
1.078,4.377,96.513
2.157,2.792,95.346
6.664,1.341,94.382
12.71,0.242,93.422
18.706,-0.517,92.336
24.645,-0.901,91.567
30.17,-1.155,90.945
30.749,-1.178,90.772
40.672,-1.168,90.501
45.457,-1.112,90.278
45.963,-1.107,90.177
56.599,-1.13,90.21
62.214,-1.193,90.456
67.939,-1.333,90.675
68.489,-1.434,90.813
79.192,-1.546,90.889
84.495,-1.727,90.884
85.021,-1.949,91.102
95.419,-2.244,91.549
101.156,-2.475,91.735
106.254,-2.608,92.205
106.671,-2.613,92.409
107.675,-2.78,92.401
107.345,-2.791,92.332
102.937,-2.814,92.203
96.824,-2.844,92.419
83.617,-2.872,92.74
80.415,-3.0,92.815
80.005,-3.319,92.777
83.235,-3.215,92.696
83.748,-3.132,93.115
95.135,-3.05,93.154
101.198,-2.785,93.168
106.68,-2.364,93.511
109.306,-1.814,94.038
108.432,-0.379,94.065
106.365,0.209,93.782
100.305,0.735,93.611
93.391,1.082,93.762
88.293,1.323,93.872
82.873,1.484,93.899
76.27,1.358,93.418
69.403,1.191,93.4
68.708,1.177,93.498
55.087,0.497,93.318
47.982,-0.08,93.295
40.798,-0.868,93.041
33.489,-1.517,92.862
33.089,-2.069,93.156
18.921,-2.202,93.376
11.555,-2.205,93.254
10.851,-2.24,93.423
-3.012,-2.122,93.696
-4.708,-2.093,93.678
-12.149,-1.252,93.498
-12.297,0.237,93.111
-12.168,0.274,93.111
-3.098,0.656,92.75
3.171,0.686,92.754
9.297,0.648,93.328
13.375,0.398,93.819
14.139,-0.256,93.896
10.816,-1.246,93.632
5.208,-1.324,93.448
-1.468,-1.411,93.292
