x_pos,y_pos,z_pos
0.0,2.025,5.4
-1.242,0.885,99.16
0.067,0.427,99.349
2.66,0.407,98.3
6.832,0.431,96.427
7.334,0.402,94.052
19.322,0.495,92.694
25.754,0.618,91.741
31.993,0.734,91.111
38.17,0.822,90.773
44.213,0.857,90.305
50.442,0.775,89.778
56.478,0.712,89.333
62.734,0.618,89.236
68.887,0.464,89.296
75.095,0.342,89.591
81.249,0.129,89.801
87.177,-0.074,89.822
93.067,-0.305,89.671
99.027,-0.54,89.711
104.744,-0.598,89.944
106.693,0.914,90.224
107.451,4.118,90.565
107.562,9.839,90.524
107.137,15.856,90.293
106.423,22.266,90.231
106.329,28.808,90.345
104.638,35.364,90.683
104.026,41.968,90.856
103.514,48.494,91.02
103.134,55.084,91.095
102.952,61.575,91.258
102.809,67.981,91.475
102.812,74.131,91.872
102.912,80.01,92.077
103.3,85.749,92.205
103.578,91.897,92.55
104.235,97.847,92.213
105.006,102.708,91.865
105.152,101.859,91.723
106.77,97.698,92.083
106.311,97.975,92.645
105.795,105.626,92.92
104.372,106.138,93.165
103.844,92.357,93.23
108.493,89.743,92.938
110.913,89.719,92.941
107.17,89.686,93.263
97.512,90.05,93.537
100.486,89.856,93.818
96.691,85.389,93.921
85.149,89.373,94.548
77.914,91.31,94.523
72.331,91.53,94.225
65.598,91.948,93.628
63.451,92.068,92.733
61.518,92.242,10.755
61.455,92.789,9.953
59.675,92.355,9.364
59.687,93.118,8.805
59.963,93.381,7.206
58.535,93.472,7.974
60.063,94.726,8.157
60.105,94.726,8.157
57.608,94.992,2.265
57.579,95.9,3.054
57.678,95.555,3.382
57.828,95.404,3.597
57.755,95.481,4.547
57.809,95.538,5.502
57.805,95.485,6.464
57.782,95.489,7.197
57.784,95.506,8.021
57.798,95.491,8.815
57.801,95.512,9.446
57.778,95.522,10.165
57.807,95.445,10.766
57.86,95.401,11.252
57.987,94.895,17.233
57.298,94.717,18.226
